Species.Code,Site.Code,GS.Type,Abund,Avg.Max.Height..m.,Growth.rate,Shade.tolerance,Drought.tolerance,Tree.Shape,Flowering,Fruiting,Fall.Colour,Leaf.shape,Bark.texture
TICO,CSC1,Inst,2,19.5,1,5,3,1,0,1,0,2,2
MCAM,CSC2,Inst,1,7.5,0,2,5,0,0,1,1,3,3
ALGL,CSC3,Inst,1,15,1,3,3,1,1,1,1,2,2
AMAR,CSC3,Inst,1,6.5,0,5,3,0,0,0,0,2,2
GIBI,CSC3,Inst,1,19.5,0,2,4,0,1,0,0,1,2
PNRE,CSC3,Inst,2,19.5,1,2,3,0,1,1,1,5,3
GLTR,CSC4,Inst,3,15,2,2,5,0,1,0,0,3,3
QUBI,CSC5,Inst,1,16.5,1,3,4,0,1,1,0,1,3
ULPU,CSC5,Inst,1,18,2,3,4,0,1,1,0,2,2
AMGR,CSC7,Inst,1,6.5,0,3,3,4,0,0,0,2,1
MABA,CSC8,Inst,1,8.5,1,2,3,0,0,0,0,2,3
MCAM,CSC8,Inst,1,7.5,0,2,5,0,0,1,1,3,3
ACRU,CSC9,Inst,1,15,2,4,2,0,0,1,0,1,3
ACSC,CSC9,Inst,1,20.5,1,5,3,0,1,1,0,1,2
CEOC,CSC9,Inst,1,15,2,3,4,0,1,0,0,2,2
ACNE,G5,Inst,1,12,2,4,4,0,1,1,0,3,3
FRPE,G5,Inst,1,16.5,2,3,4,0,1,1,0,3,2
TICO,G5,Inst,1,19.5,1,5,3,1,0,1,0,2,2
MABA,H1,Park,1,8.5,1,2,3,0,0,0,0,2,3
PIPU,H1,Park,3,13.5,0,3,3,1,1,1,1,5,3
QUMA,H1,Park,1,22.5,1,3,4,0,1,1,0,1,2
TACA,H1,Park,3,1.4,0,4,3,3,1,1,1,5,3
FRPE,H2,Park,1,16.5,2,3,4,0,1,1,0,3,2
MABA,H2,Park,2,8.5,1,2,3,0,0,0,0,2,3
PYCO,H2,Park,1,8.3,2,3,3,0,0,0,0,2,2
TIERWR,H2,Park,1,30.5,1,3,4,0,0,1,0,2,2
CEOC,H3,Park,1,15,2,3,4,0,1,0,0,2,2
COCO,H3,Park,2,13.5,0,2,4,0,1,0,0,2,3
FRPE,H3,Park,1,16.5,2,3,4,0,1,1,0,3,2
TACA,H3,Park,2,1.4,0,4,3,3,1,1,1,5,3
ULPU,H3,Park,4,18,2,3,4,0,1,1,0,2,2
GIBI,H4,Park,1,19.5,0,2,4,0,1,0,0,1,2
MABA,H4,Park,3,8.5,1,2,3,0,0,0,0,2,3
PIPU,H4,Park,1,13.5,0,3,3,1,1,1,1,5,3
PYCO,H4,Park,1,8.3,2,3,3,0,0,0,0,2,2
RHTY,H4,Park,1,6.5,2,2,4,3,1,0,0,3,1
FRPE,H5,Park,1,16.5,2,3,4,0,1,1,0,3,2
QURU,H5,Park,1,20.5,2,3,3,0,1,1,0,1,2
THOC,H5,Park,3,15,0,4,3,1,1,1,1,5,3
FRPE,H6,Park,1,16.5,2,3,4,0,1,1,0,3,2
MABA,H6,Park,1,8.5,1,2,3,0,0,0,0,2,3
PIPU,H6,Park,1,13.5,0,3,3,1,1,1,1,5,3
PNNI,H6,Park,1,16.8,1,2,4,1,1,1,1,5,3
PRVI,H6,Park,1,8.5,1,3,3,0,0,0,0,2,1
QUPA,H6,Park,1,19.5,1,2,3,1,1,1,0,1,2
TICO,H6,Park,2,19.5,1,5,3,1,0,1,0,2,2
CEOC,H7,Park,1,15,2,3,4,0,1,0,0,2,2
QUPA,H7,Park,2,19.5,1,2,3,1,1,1,0,1,2
ACNE,IG1,Inst,2,12,2,4,4,0,1,1,0,3,3
ACPL,IG1,Inst,3,13.5,2,3,3,0,1,1,0,1,2
ACSA,IG1,Inst,1,18,2,4,3,0,1,1,0,1,2
ROWO,IG1,Inst,1,2,2,3,4,3,0,1,1,2,1
ULAM,IG1,Inst,1,21,2,3,4,0,1,1,0,2,3
ACSA,IG2,Inst,1,18,2,4,3,0,1,1,0,1,2
ALGL,IG2,Inst,1,15,1,3,3,1,1,1,1,2,2
TIAM,IG2,Inst,2,21,1,4,3,0,0,1,0,2,2
ULXXFR,IG2,Inst,1,12.2,1,4,4,4,1,1,0,2,2
CAAB,IG3,Inst,1,17.5,1,2,4,3,0,1,1,2,1
PIPU,IG3,Inst,1,13.5,0,3,3,1,1,1,1,5,3
ULAM,IG4,Inst,5,21,2,3,4,0,1,1,0,2,3
ACPL,IG5,Inst,1,13.5,2,3,3,0,1,1,0,1,2
ACSA,IG5,Inst,1,18,2,4,3,0,1,1,0,1,2
AMCA,IG5,Inst,1,4,1,3,3,4,0,0,0,2,1
PIPU,IG5,Inst,2,13.5,0,3,3,1,1,1,1,5,3
THOC,IG5,Inst,1,15,0,4,3,1,1,1,1,5,3
ACPL,IG7,Inst,2,13.5,2,3,3,0,1,1,0,1,2
SOAU,IG7,Inst,1,9,1,3,3,3,0,0,0,3,1
ACPL,J1,Inst,2,13.5,2,3,3,0,1,1,0,1,2
ACPL,J10,Inst,1,13.5,2,3,3,0,1,1,0,1,2
ACPL,J11,Inst,3,13.5,2,3,3,0,1,1,0,1,2
CEOC,J11,Inst,1,15,2,3,4,0,1,0,0,2,2
CEOC,J12,Inst,1,15,2,3,4,0,1,0,0,2,2
GLTR,J14,Inst,1,15,2,2,5,0,1,0,0,3,3
ACPL,J17,Inst,1,13.5,2,3,3,0,1,1,0,1,2
ACSA,J17,Inst,1,18,2,4,3,0,1,1,0,1,2
FRPE,J17,Inst,1,16.5,2,3,4,0,1,1,0,3,2
GLTR,J17,Inst,1,15,2,2,5,0,1,0,0,3,3
ULAM,J17,Inst,1,21,2,3,4,0,1,1,0,2,3
ACGI,J19,Inst,1,4.5,1,3,3,0,1,1,0,1,3
ACRU,J19,Inst,1,15,2,4,2,0,0,1,0,1,3
GIBI,J19,Inst,1,19.5,0,2,4,0,1,0,0,1,2
GLTR,J19,Inst,1,15,2,2,5,0,1,0,0,3,3
ACPL,J2,Inst,1,13.5,2,3,3,0,1,1,0,1,2
PIPU,J2,Inst,2,13.5,0,3,3,1,1,1,1,5,3
SYVU,J2,Inst,1,3.5,1,3,3,3,0,1,0,2,1
ACPL,J20,Inst,1,13.5,2,3,3,0,1,1,0,1,2
CEOC,J20,Inst,3,15,2,3,4,0,1,0,0,2,2
GLTR,J20,Inst,1,15,2,2,5,0,1,0,0,3,3
ULPU,J20,Inst,1,18,2,3,4,0,1,1,0,2,2
ACGI,J3,Inst,2,4.5,1,3,3,0,1,1,0,1,3
ACPL,J3,Inst,1,13.5,2,3,3,0,1,1,0,1,2
CEOC,J3,Inst,2,15,2,3,4,0,1,0,0,2,2
CEOC,J6,Inst,2,15,2,3,4,0,1,0,0,2,2
ACNE,J7,Inst,1,12,2,4,4,0,1,1,0,3,3
ACPL,J7,Inst,1,13.5,2,3,3,0,1,1,0,1,2
ACSA,J7,Inst,1,18,2,4,3,0,1,1,0,1,2
ACNE,KP1,Inst,1,12,2,4,4,0,1,1,0,3,3
ACPL,KP1,Inst,1,13.5,2,3,3,0,1,1,0,1,2
THOC,KP10,Inst,27,15,0,4,3,1,1,1,1,5,3
