Site.Code,GS.Type,Max.Height.cwm,Growth.rate.cwm,Shade.tol.cwm,Drought.tol.cwm,Tree.shape.cwm,Flowering.cwm,Fruiting.cwm,Fall.col.cwm,Leaf.shape.cwm,Bark.cwm,,,,,,,,,,,,,,,
LO3,Park,20.82,2,2.6,3.2,0,1,1,0,2.6,2,,,,,,,,,,,,,,,
LO30,Park,16,2,3,3.333333333,0,1,1,0,1.333333333,2.333333333,,,,,,,,,,,,,,,
LO32,Park,12.85,2,3,3,0,0.5,0,0,2,1.5,,,,,,,,,,,,,,,
LO33,Park,24.3,2,3,3,0,1,1,0,2,2,,,,,,,,,,,,,,,
LO34,Park,16.5,1.333333333,2,4.666666667,0,1,0,0,2.333333333,2.666666667,,,,,,,,,,,,,,,
LO35,Park,13.5,1,2,5,0,1,1,1,5,3,,,,,,,,,,,,,,,
LO36,Park,18.625,1.5,3.75,3.5,0.5,0.5,0.75,0,2,2.25,,,,,,,,,,,,,,,
LO37,Park,16.5,2,3,4,0,1,1,0,3,2,,,,,,,,,,,,,,,
LO38,Park,17.75,2,2.5,3,0.5,1,1,0,1,2,,,,,,,,,,,,,,,
LO39,Park,16.5,1,3,4,0,1,1,0,1,3,,,,,,,,,,,,,,,
LO4,Park,15.16666667,1.333333333,2.666666667,3,0,0.666666667,0.333333333,0.333333333,2,2.333333333,,,,,,,,,,,,,,,
LO43,Park,13.5,2,3,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
LO44,Park,13.5,0,3,3,1,1,1,1,5,3,,,,,,,,,,,,,,,
LO45,Park,11.53333333,1.333333333,2.666666667,3.333333333,0,0.666666667,0.333333333,0,1.666666667,2,,,,,,,,,,,,,,,
LO48,Park,15,2,3,4,0,1,0,0,2,2,,,,,,,,,,,,,,,
LO49,Park,15.15,1.5,2.5,3.5,0.5,1,1,0.5,3,2.5,,,,,,,,,,,,,,,
LO5,Park,18,2,4,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
LO50,Park,13.5,2,3,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
LO54,Park,15.75,2,2.75,3.5,0,1,0.5,0,2,2,,,,,,,,,,,,,,,
LO56,Park,15,2,2,5,0,1,0,0,3,3,,,,,,,,,,,,,,,
LO58,Park,13.5,2,3,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
LO59,Park,20.16666667,1,2.333333333,3.333333333,0,1,0.333333333,0.666666667,2.333333333,2,,,,,,,,,,,,,,,
